Type,WKT
Square bollard,"POLYGON Z ((842494.9137553488 6520335.088656759 0.5, 842494.4718299933 6520335.003792277 0.5, 842494.5566944751 6520334.56186692 0.5, 842494.9986198306 6520334.646731403 0.5, 842494.9137553488 6520335.088656759 0.5))"
Square bollard,"POLYGON Z ((842498.9032935088 6520335.854957089 0.5, 842498.4613681533 6520335.770092607 0.5, 842498.5462326352 6520335.32816725 0.5, 842498.9881579906 6520335.413031733 0.5, 842498.9032935088 6520335.854957089 0.5))"
Square bollard,"POLYGON Z ((842500.7802629708 6520336.23537216 0.5, 842500.3383376154 6520336.150507677 0.5, 842500.4232020972 6520335.708582321 0.5, 842500.8651274526 6520335.793446803 0.5, 842500.7802629708 6520336.23537216 0.5))"
Square bollard,"POLYGON Z ((842504.6886605258 6520337.112065019 0.5, 842504.2467351704 6520337.027200537 0.5, 842504.3315996522 6520336.585275181 0.5, 842504.7735250077 6520336.670139663 0.5, 842504.6886605258 6520337.112065019 0.5))"
Square bollard,"POLYGON Z ((842506.4949156798 6520337.154019319 0.5, 842506.0529903243 6520337.069154837 0.5, 842506.1378548061 6520336.627229481 0.5, 842506.5797801616 6520336.712093963 0.5, 842506.4949156798 6520337.154019319 0.5))"
Square bollard,"POLYGON Z ((842510.4015742588 6520338.105524359 0.5, 842509.9596489033 6520338.020659877 0.5, 842510.0445133852 6520337.578734521 0.5, 842510.4864387406 6520337.663599003 0.5, 842510.4015742588 6520338.105524359 0.5))"
Square bollard,"POLYGON Z ((842512.3308976059 6520338.487159079 0.5, 842511.8889722504 6520338.402294597 0.5, 842511.9738367322 6520337.9603692405 0.5, 842512.4157620877 6520338.045233723 0.5, 842512.3308976059 6520338.487159079 0.5))"
Square bollard,"POLYGON Z ((842516.1127485369 6520339.173797559 0.5, 842515.6708231814 6520339.088933077 0.5, 842515.7556876632 6520338.647007721 0.5, 842516.1976130187 6520338.731872203 0.5, 842516.1127485369 6520339.173797559 0.5))"
Square bollard,"POLYGON Z ((842517.8867433738 6520339.476977009 0.5, 842517.4448180184 6520339.392112527 0.5, 842517.5296825002 6520338.950187171 0.5, 842517.9716078556 6520339.035051653 0.5, 842517.8867433738 6520339.476977009 0.5))"
Square bollard,"POLYGON Z ((842521.7977433458 6520340.241467959 0.5, 842521.3558179904 6520340.156603477 0.5, 842521.4406824722 6520339.714678121 0.5, 842521.8826078277 6520339.799542603 0.5, 842521.7977433458 6520340.241467959 0.5))"
Square bollard,"POLYGON Z ((842523.6747101978 6520340.621890039 0.5, 842523.2327848424 6520340.537025557 0.5, 842523.3176493242 6520340.095100201 0.5, 842523.7595746797 6520340.179964683 0.5, 842523.6747101978 6520340.621890039 0.5))"
Square bollard,"POLYGON Z ((842527.6206402899 6520299.294041189 0.5, 842527.1787149344 6520299.209176707 0.5, 842527.2635794162 6520298.767251351 0.5, 842527.7055047717 6520298.852115833 0.5, 842527.6206402899 6520299.294041189 0.5))"
Square bollard,"POLYGON Z ((842521.8029814708 6520298.298133389 0.5, 842521.3610561154 6520298.213268907 0.5, 842521.4459205972 6520297.771343551 0.5, 842521.8878459526 6520297.856208033 0.5, 842521.8029814708 6520298.298133389 0.5))"
Square bollard,"POLYGON Z ((842515.9111318159 6520297.113385519 0.5, 842515.4692064604 6520297.028521037 0.5, 842515.5540709422 6520296.586595681 0.5, 842515.9959962977 6520296.671460163 0.5, 842515.9111318159 6520297.113385519 0.5))"
Square bollard,"POLYGON Z ((842510.3857690229 6520295.93715605 0.5, 842509.9438436674 6520295.852291567 0.5, 842510.0287081492 6520295.410366211 0.5, 842510.4706335047 6520295.495230693 0.5, 842510.3857690229 6520295.93715605 0.5))"
Square bollard,"POLYGON Z ((842504.6204601648 6520294.942480659 0.5, 842504.1785348094 6520294.857616177 0.5, 842504.2633992912 6520294.415690821 0.5, 842504.7053246467 6520294.500555303 0.5, 842504.6204601648 6520294.942480659 0.5))"
Square bollard,"POLYGON Z ((842498.8603620598 6520293.7233850295 0.5, 842498.4184367043 6520293.638520547 0.5, 842498.5033011861 6520293.196595191 0.5, 842498.9452265416 6520293.281459673 0.5, 842498.8603620598 6520293.7233850295 0.5))"
Square bollard,"POLYGON Z ((842493.0165160918 6520292.726896529 0.5, 842492.5745907363 6520292.642032047 0.5, 842492.6594552181 6520292.200106691 0.5, 842493.1013805736 6520292.284971173 0.5, 842493.0165160918 6520292.726896529 0.5))"
Square bollard,"POLYGON Z ((842487.2031895479 6520291.544000159 0.5, 842486.7612641924 6520291.459135677 0.5, 842486.8461286742 6520291.017210321 0.5, 842487.2880540297 6520291.102074803 0.5, 842487.2031895479 6520291.544000159 0.5))"
Square bollard,"POLYGON Z ((842481.3855176648 6520290.548130689 0.5, 842480.9435923094 6520290.463266207 0.5, 842481.0284567912 6520290.021340851 0.5, 842481.4703821467 6520290.106205333 0.5, 842481.3855176648 6520290.548130689 0.5))"
