Type,WKT
Round bollard,"POLYGON Z ((842431.247605531 6520301.44035003 0.5, 842431.2046343548 6520301.572601711 0.5, 842431.0921343548 6520301.654337746 0.5, 842430.9530767073 6520301.654337746 0.5, 842430.8405767073 6520301.572601711 0.5, 842430.797605531 6520301.44035003 0.5, 842430.8405767073 6520301.308098348 0.5, 842430.9530767073 6520301.226362313 0.5, 842431.0921343548 6520301.226362313 0.5, 842431.2046343548 6520301.308098348 0.5, 842431.247605531 6520301.44035003 0.5))"
Round bollard,"POLYGON Z ((842431.515890957 6520299.57194925 0.5, 842431.4729197808 6520299.704200932 0.5, 842431.3604197807 6520299.785936967 0.5, 842431.2213621333 6520299.785936967 0.5, 842431.1088621332 6520299.704200932 0.5, 842431.065890957 6520299.57194925 0.5, 842431.1088621332 6520299.439697568 0.5, 842431.2213621333 6520299.357961534 0.5, 842431.3604197807 6520299.357961534 0.5, 842431.4729197808 6520299.439697568 0.5, 842431.515890957 6520299.57194925 0.5))"
Round bollard,"POLYGON Z ((842431.9027850049 6520297.43849785 0.5, 842431.8598138287 6520297.5707495315 0.5, 842431.7473138287 6520297.652485566 0.5, 842431.6082561812 6520297.652485566 0.5, 842431.4957561812 6520297.5707495315 0.5, 842431.452785005 6520297.43849785 0.5, 842431.4957561812 6520297.306246168 0.5, 842431.6082561812 6520297.224510133 0.5, 842431.7473138287 6520297.224510133 0.5, 842431.8598138287 6520297.306246168 0.5, 842431.9027850049 6520297.43849785 0.5))"
Round bollard,"POLYGON Z ((842432.244757856 6520295.62536858 0.5, 842432.2017866798 6520295.757620262 0.5, 842432.0892866798 6520295.839356297 0.5, 842431.9502290323 6520295.839356297 0.5, 842431.8377290323 6520295.757620262 0.5, 842431.794757856 6520295.62536858 0.5, 842431.8377290323 6520295.493116898 0.5, 842431.9502290323 6520295.411380864 0.5, 842432.0892866798 6520295.411380864 0.5, 842432.2017866798 6520295.493116898 0.5, 842432.244757856 6520295.62536858 0.5))"
Round bollard,"POLYGON Z ((842432.6513624609 6520293.85391039 0.5, 842432.6083912847 6520293.986162072 0.5, 842432.4958912847 6520294.067898107 0.5, 842432.3568336372 6520294.067898107 0.5, 842432.2443336372 6520293.986162072 0.5, 842432.201362461 6520293.85391039 0.5, 842432.2443336372 6520293.7216587085 0.5, 842432.3568336372 6520293.639922674 0.5, 842432.4958912847 6520293.639922674 0.5, 842432.6083912847 6520293.7216587085 0.5, 842432.6513624609 6520293.85391039 0.5))"
Round bollard,"POLYGON Z ((842433.013310915 6520291.98768406 0.5, 842432.9703397388 6520292.119935742 0.5, 842432.8578397387 6520292.201671776 0.5, 842432.7187820913 6520292.201671776 0.5, 842432.6062820912 6520292.119935742 0.5, 842432.563310915 6520291.98768406 0.5, 842432.6062820912 6520291.855432378 0.5, 842432.7187820913 6520291.773696343 0.5, 842432.8578397387 6520291.773696343 0.5, 842432.9703397388 6520291.855432378 0.5, 842433.013310915 6520291.98768406 0.5))"
Round bollard,"POLYGON Z ((842433.37960922 6520289.93409583 0.5, 842433.3366380438 6520290.0663475115 0.5, 842433.2241380437 6520290.148083546 0.5, 842433.0850803963 6520290.148083546 0.5, 842432.9725803962 6520290.0663475115 0.5, 842432.92960922 6520289.93409583 0.5, 842432.9725803962 6520289.801844148 0.5, 842433.0850803963 6520289.720108113 0.5, 842433.2241380437 6520289.720108113 0.5, 842433.3366380438 6520289.801844148 0.5, 842433.37960922 6520289.93409583 0.5))"
Round bollard,"POLYGON Z ((842433.818352164 6520287.9893111 0.5, 842433.7753809878 6520288.121562782 0.5, 842433.6628809877 6520288.203298816 0.5, 842433.5238233403 6520288.203298816 0.5, 842433.4113233403 6520288.121562782 0.5, 842433.368352164 6520287.9893111 0.5, 842433.4113233403 6520287.857059418 0.5, 842433.5238233403 6520287.7753233835 0.5, 842433.6628809877 6520287.7753233835 0.5, 842433.7753809878 6520287.857059418 0.5, 842433.818352164 6520287.9893111 0.5))"
Round bollard,"POLYGON Z ((842434.125967906 6520286.04148222 0.5, 842434.0829967298 6520286.173733902 0.5, 842433.9704967297 6520286.255469937 0.5, 842433.8314390823 6520286.255469937 0.5, 842433.7189390822 6520286.173733902 0.5, 842433.675967906 6520286.04148222 0.5, 842433.7189390822 6520285.909230539 0.5, 842433.8314390823 6520285.827494504 0.5, 842433.9704967297 6520285.827494504 0.5, 842434.0829967298 6520285.909230539 0.5, 842434.125967906 6520286.04148222 0.5))"
Round bollard,"POLYGON Z ((842434.946636059 6520282.17737422 0.5, 842434.9036648828 6520282.309625902 0.5, 842434.7911648827 6520282.391361937 0.5, 842434.6521072353 6520282.391361937 0.5, 842434.5396072352 6520282.309625902 0.5, 842434.496636059 6520282.17737422 0.5, 842434.5396072352 6520282.045122539 0.5, 842434.6521072353 6520281.963386504 0.5, 842434.7911648827 6520281.963386504 0.5, 842434.9036648828 6520282.045122539 0.5, 842434.946636059 6520282.17737422 0.5))"
Round bollard,"POLYGON Z ((842437.634403961 6520306.87775464 0.5, 842437.5914327848 6520307.010006322 0.5, 842437.4789327848 6520307.091742356 0.5, 842437.3398751373 6520307.091742356 0.5, 842437.2273751373 6520307.010006322 0.5, 842437.1844039611 6520306.87775464 0.5, 842437.2273751373 6520306.745502958 0.5, 842437.3398751373 6520306.663766923 0.5, 842437.4789327848 6520306.663766923 0.5, 842437.5914327848 6520306.745502958 0.5, 842437.634403961 6520306.87775464 0.5))"
Round bollard,"POLYGON Z ((842438.018814195 6520304.85136758 0.5, 842437.9758430187 6520304.9836192615 0.5, 842437.8633430187 6520305.065355296 0.5, 842437.7242853713 6520305.065355296 0.5, 842437.6117853712 6520304.9836192615 0.5, 842437.568814195 6520304.85136758 0.5, 842437.6117853712 6520304.719115898 0.5, 842437.7242853713 6520304.637379863 0.5, 842437.8633430187 6520304.637379863 0.5, 842437.9758430187 6520304.719115898 0.5, 842438.018814195 6520304.85136758 0.5))"
Round bollard,"POLYGON Z ((842438.363274158 6520302.93117471 0.5, 842438.3203029818 6520303.063426392 0.5, 842438.2078029817 6520303.145162427 0.5, 842438.0687453343 6520303.145162427 0.5, 842437.9562453342 6520303.063426392 0.5, 842437.913274158 6520302.93117471 0.5, 842437.9562453342 6520302.798923029 0.5, 842438.0687453343 6520302.717186994 0.5, 842438.2078029817 6520302.717186994 0.5, 842438.3203029818 6520302.798923029 0.5, 842438.363274158 6520302.93117471 0.5))"
Round bollard,"POLYGON Z ((842438.785149716 6520300.90565749 0.5, 842438.7421785397 6520301.037909172 0.5, 842438.6296785397 6520301.119645206 0.5, 842438.4906208923 6520301.119645206 0.5, 842438.3781208922 6520301.037909172 0.5, 842438.335149716 6520300.90565749 0.5, 842438.3781208922 6520300.773405808 0.5, 842438.4906208923 6520300.691669773 0.5, 842438.6296785397 6520300.691669773 0.5, 842438.7421785397 6520300.773405808 0.5, 842438.785149716 6520300.90565749 0.5))"
Round bollard,"POLYGON Z ((842439.088416744 6520299.14519079 0.5, 842439.0454455678 6520299.277442472 0.5, 842438.9329455678 6520299.359178507 0.5, 842438.7938879203 6520299.359178507 0.5, 842438.6813879203 6520299.277442472 0.5, 842438.6384167441 6520299.14519079 0.5, 842438.6813879203 6520299.012939109 0.5, 842438.7938879203 6520298.931203074 0.5, 842438.9329455678 6520298.931203074 0.5, 842439.0454455678 6520299.012939109 0.5, 842439.088416744 6520299.14519079 0.5))"
Round bollard,"POLYGON Z ((842439.4728278259 6520297.11880381 0.5, 842439.4298566497 6520297.251055492 0.5, 842439.3173566497 6520297.332791527 0.5, 842439.1782990022 6520297.332791527 0.5, 842439.0657990022 6520297.251055492 0.5, 842439.022827826 6520297.11880381 0.5, 842439.0657990022 6520296.986552129 0.5, 842439.1782990022 6520296.904816094 0.5, 842439.3173566497 6520296.904816094 0.5, 842439.4298566497 6520296.986552129 0.5, 842439.4728278259 6520297.11880381 0.5))"
Round bollard,"POLYGON Z ((842439.893461244 6520295.14681864 0.5, 842439.8504900677 6520295.2790703215 0.5, 842439.7379900677 6520295.360806356 0.5, 842439.5989324203 6520295.360806356 0.5, 842439.4864324202 6520295.2790703215 0.5, 842439.443461244 6520295.14681864 0.5, 842439.4864324202 6520295.014566958 0.5, 842439.5989324203 6520294.932830923 0.5, 842439.7379900677 6520294.932830923 0.5, 842439.8504900677 6520295.014566958 0.5, 842439.893461244 6520295.14681864 0.5))"
Round bollard,"POLYGON Z ((842440.200457257 6520293.22575606 0.5, 842440.1574860808 6520293.358007742 0.5, 842440.0449860807 6520293.439743777 0.5, 842439.9059284333 6520293.439743777 0.5, 842439.7934284332 6520293.358007742 0.5, 842439.750457257 6520293.22575606 0.5, 842439.7934284332 6520293.093504379 0.5, 842439.9059284333 6520293.011768344 0.5, 842440.0449860807 6520293.011768344 0.5, 842440.1574860808 6520293.093504379 0.5, 842440.200457257 6520293.22575606 0.5))"
Round bollard,"POLYGON Z ((842440.656070428 6520291.36170469 0.5, 842440.6130992518 6520291.493956372 0.5, 842440.5005992517 6520291.575692407 0.5, 842440.3615416043 6520291.575692407 0.5, 842440.2490416042 6520291.493956372 0.5, 842440.206070428 6520291.36170469 0.5, 842440.2490416042 6520291.229453009 0.5, 842440.3615416043 6520291.147716974 0.5, 842440.5005992517 6520291.147716974 0.5, 842440.6130992518 6520291.229453009 0.5, 842440.656070428 6520291.36170469 0.5))"
Round bollard,"POLYGON Z ((842441.33523081 6520289.55640416 0.5, 842441.2922596338 6520289.688655842 0.5, 842441.1797596337 6520289.770391877 0.5, 842441.0407019863 6520289.770391877 0.5, 842440.9282019862 6520289.688655842 0.5, 842440.88523081 6520289.55640416 0.5, 842440.9282019862 6520289.424152479 0.5, 842441.0407019863 6520289.342416444 0.5, 842441.1797596337 6520289.342416444 0.5, 842441.2922596338 6520289.424152479 0.5, 842441.33523081 6520289.55640416 0.5))"
Round bollard,"POLYGON Z ((842442.199230775 6520287.86251673 0.5, 842442.1562595988 6520287.994768412 0.5, 842442.0437595987 6520288.076504447 0.5, 842441.9047019513 6520288.076504447 0.5, 842441.7922019513 6520287.994768412 0.5, 842441.749230775 6520287.86251673 0.5, 842441.7922019513 6520287.730265048 0.5, 842441.9047019513 6520287.648529014 0.5, 842442.0437595987 6520287.648529014 0.5, 842442.1562595988 6520287.730265048 0.5, 842442.199230775 6520287.86251673 0.5))"
Round bollard,"POLYGON Z ((842443.430423974 6520286.49851947 0.5, 842443.3874527977 6520286.630771152 0.5, 842443.2749527977 6520286.712507186 0.5, 842443.1358951502 6520286.712507186 0.5, 842443.0233951502 6520286.630771152 0.5, 842442.980423974 6520286.49851947 0.5, 842443.0233951502 6520286.366267788 0.5, 842443.1358951502 6520286.2845317535 0.5, 842443.2749527977 6520286.2845317535 0.5, 842443.3874527977 6520286.366267788 0.5, 842443.430423974 6520286.49851947 0.5))"
Round bollard,"POLYGON Z ((842444.808991961 6520285.24506573 0.5, 842444.7660207847 6520285.377317412 0.5, 842444.6535207847 6520285.459053447 0.5, 842444.5144631373 6520285.459053447 0.5, 842444.4019631372 6520285.377317412 0.5, 842444.358991961 6520285.24506573 0.5, 842444.4019631372 6520285.112814048 0.5, 842444.5144631373 6520285.031078014 0.5, 842444.6535207847 6520285.031078014 0.5, 842444.7660207847 6520285.112814048 0.5, 842444.808991961 6520285.24506573 0.5))"
Round bollard,"POLYGON Z ((842446.447329752 6520284.10476511 0.5, 842446.4043585758 6520284.2370167915 0.5, 842446.2918585758 6520284.318752826 0.5, 842446.1528009283 6520284.318752826 0.5, 842446.0403009283 6520284.2370167915 0.5, 842445.9973297521 6520284.10476511 0.5, 842446.0403009283 6520283.972513428 0.5, 842446.1528009283 6520283.890777393 0.5, 842446.2918585758 6520283.890777393 0.5, 842446.4043585758 6520283.972513428 0.5, 842446.447329752 6520284.10476511 0.5))"
Round bollard,"POLYGON Z ((842448.263050074 6520283.39706999 0.5, 842448.2200788978 6520283.529321671 0.5, 842448.1075788977 6520283.611057706 0.5, 842447.9685212503 6520283.611057706 0.5, 842447.8560212502 6520283.529321671 0.5, 842447.813050074 6520283.39706999 0.5, 842447.8560212502 6520283.264818308 0.5, 842447.9685212503 6520283.183082273 0.5, 842448.1075788977 6520283.183082273 0.5, 842448.2200788978 6520283.264818308 0.5, 842448.263050074 6520283.39706999 0.5))"
Round bollard,"POLYGON Z ((842450.923065218 6520283.45882992 0.5, 842450.8800940418 6520283.591081602 0.5, 842450.7675940418 6520283.672817636 0.5, 842450.6285363943 6520283.672817636 0.5, 842450.5160363943 6520283.591081602 0.5, 842450.4730652181 6520283.45882992 0.5, 842450.5160363943 6520283.326578238 0.5, 842450.6285363943 6520283.244842203 0.5, 842450.7675940418 6520283.244842203 0.5, 842450.8800940418 6520283.326578238 0.5, 842450.923065218 6520283.45882992 0.5))"
Round bollard,"POLYGON Z ((842453.747855568 6520282.88168684 0.5, 842453.7048843917 6520283.013938522 0.5, 842453.5923843917 6520283.095674557 0.5, 842453.4533267443 6520283.095674557 0.5, 842453.3408267442 6520283.013938522 0.5, 842453.297855568 6520282.88168684 0.5, 842453.3408267442 6520282.749435158 0.5, 842453.4533267443 6520282.667699124 0.5, 842453.5923843917 6520282.667699124 0.5, 842453.7048843917 6520282.749435158 0.5, 842453.747855568 6520282.88168684 0.5))"
Round bollard,"POLYGON Z ((842441.5906936079 6520262.40699356 0.5, 842441.5477224317 6520262.539245241 0.5, 842441.4352224317 6520262.620981276 0.5, 842441.2961647842 6520262.620981276 0.5, 842441.1836647842 6520262.539245241 0.5, 842441.140693608 6520262.40699356 0.5, 842441.1836647842 6520262.274741878 0.5, 842441.2961647842 6520262.193005843 0.5, 842441.4352224317 6520262.193005843 0.5, 842441.5477224317 6520262.274741878 0.5, 842441.5906936079 6520262.40699356 0.5))"
Round bollard,"POLYGON Z ((842441.624610611 6520264.17528844 0.5, 842441.5816394348 6520264.3075401215 0.5, 842441.4691394347 6520264.389276156 0.5, 842441.3300817873 6520264.389276156 0.5, 842441.2175817873 6520264.3075401215 0.5, 842441.174610611 6520264.17528844 0.5, 842441.2175817873 6520264.043036758 0.5, 842441.3300817873 6520263.961300723 0.5, 842441.4691394347 6520263.961300723 0.5, 842441.5816394348 6520264.043036758 0.5, 842441.624610611 6520264.17528844 0.5))"
Round bollard,"POLYGON Z ((842442.364150473 6520266.22776964 0.5, 842442.3211792968 6520266.360021322 0.5, 842442.2086792968 6520266.441757357 0.5, 842442.0696216493 6520266.441757357 0.5, 842441.9571216493 6520266.360021322 0.5, 842441.9141504731 6520266.22776964 0.5, 842441.9571216493 6520266.0955179585 0.5, 842442.0696216493 6520266.013781924 0.5, 842442.2086792968 6520266.013781924 0.5, 842442.3211792968 6520266.0955179585 0.5, 842442.364150473 6520266.22776964 0.5))"
Round bollard,"POLYGON Z ((842443.453304088 6520267.75275952 0.5, 842443.4103329118 6520267.885011202 0.5, 842443.2978329117 6520267.966747236 0.5, 842443.1587752643 6520267.966747236 0.5, 842443.0462752642 6520267.885011202 0.5, 842443.003304088 6520267.75275952 0.5, 842443.0462752642 6520267.620507838 0.5, 842443.1587752643 6520267.5387718035 0.5, 842443.2978329117 6520267.5387718035 0.5, 842443.4103329118 6520267.620507838 0.5, 842443.453304088 6520267.75275952 0.5))"
Round bollard,"POLYGON Z ((842445.302944648 6520268.8133584 0.5, 842445.2599734718 6520268.945610082 0.5, 842445.1474734717 6520269.0273461165 0.5, 842445.0084158243 6520269.0273461165 0.5, 842444.8959158242 6520268.945610082 0.5, 842444.852944648 6520268.8133584 0.5, 842444.8959158242 6520268.681106718 0.5, 842445.0084158243 6520268.599370684 0.5, 842445.1474734717 6520268.599370684 0.5, 842445.2599734718 6520268.681106718 0.5, 842445.302944648 6520268.8133584 0.5))"
Round bollard,"POLYGON Z ((842446.444476568 6520269.69683493 0.5, 842446.4015053918 6520269.829086612 0.5, 842446.2890053918 6520269.910822647 0.5, 842446.1499477443 6520269.910822647 0.5, 842446.0374477443 6520269.829086612 0.5, 842445.9944765681 6520269.69683493 0.5, 842446.0374477443 6520269.564583248 0.5, 842446.1499477443 6520269.482847214 0.5, 842446.2890053918 6520269.482847214 0.5, 842446.4015053918 6520269.564583248 0.5, 842446.444476568 6520269.69683493 0.5))"
Round bollard,"POLYGON Z ((842448.1142479379 6520270.43189361 0.5, 842448.0712767617 6520270.564145292 0.5, 842447.9587767617 6520270.645881327 0.5, 842447.8197191142 6520270.645881327 0.5, 842447.7072191142 6520270.564145292 0.5, 842447.664247938 6520270.43189361 0.5, 842447.7072191142 6520270.299641929 0.5, 842447.8197191142 6520270.217905894 0.5, 842447.9587767617 6520270.217905894 0.5, 842448.0712767617 6520270.299641929 0.5, 842448.1142479379 6520270.43189361 0.5))"
Round bollard,"POLYGON Z ((842452.135618314 6520271.59647816 0.5, 842452.0926471378 6520271.728729841 0.5, 842451.9801471378 6520271.810465876 0.5, 842451.8410894903 6520271.810465876 0.5, 842451.7285894903 6520271.728729841 0.5, 842451.6856183141 6520271.59647816 0.5, 842451.7285894903 6520271.464226478 0.5, 842451.8410894903 6520271.382490443 0.5, 842451.9801471378 6520271.382490443 0.5, 842452.0926471378 6520271.464226478 0.5, 842452.135618314 6520271.59647816 0.5))"
Round bollard,"POLYGON Z ((842450.0450315509 6520271.22657373 0.5, 842450.0020603747 6520271.358825412 0.5, 842449.8895603747 6520271.440561446 0.5, 842449.7505027272 6520271.440561446 0.5, 842449.6380027272 6520271.358825412 0.5, 842449.595031551 6520271.22657373 0.5, 842449.6380027272 6520271.094322048 0.5, 842449.7505027272 6520271.012586013 0.5, 842449.8895603747 6520271.012586013 0.5, 842450.0020603747 6520271.094322048 0.5, 842450.0450315509 6520271.22657373 0.5))"
Round bollard,"POLYGON Z ((842454.040122417 6520271.90850189 0.5, 842453.9971512408 6520272.040753571 0.5, 842453.8846512408 6520272.122489606 0.5, 842453.7455935933 6520272.122489606 0.5, 842453.6330935933 6520272.040753571 0.5, 842453.5901224171 6520271.90850189 0.5, 842453.6330935933 6520271.776250208 0.5, 842453.7455935933 6520271.694514173 0.5, 842453.8846512408 6520271.694514173 0.5, 842453.9971512408 6520271.776250208 0.5, 842454.040122417 6520271.90850189 0.5))"
Round bollard,"POLYGON Z ((842455.828502272 6520272.37851244 0.5, 842455.7855310958 6520272.510764122 0.5, 842455.6730310958 6520272.592500157 0.5, 842455.5339734483 6520272.592500157 0.5, 842455.4214734483 6520272.510764122 0.5, 842455.3785022721 6520272.37851244 0.5, 842455.4214734483 6520272.2462607585 0.5, 842455.5339734483 6520272.164524724 0.5, 842455.6730310958 6520272.164524724 0.5, 842455.7855310958 6520272.2462607585 0.5, 842455.828502272 6520272.37851244 0.5))"
Round bollard,"POLYGON Z ((842455.763508131 6520283.24985273 0.5, 842455.7205369548 6520283.382104412 0.5, 842455.6080369548 6520283.463840446 0.5, 842455.4689793073 6520283.463840446 0.5, 842455.3564793073 6520283.382104412 0.5, 842455.3135081311 6520283.24985273 0.5, 842455.3564793073 6520283.117601048 0.5, 842455.4689793073 6520283.0358650135 0.5, 842455.6080369548 6520283.0358650135 0.5, 842455.7205369548 6520283.117601048 0.5, 842455.763508131 6520283.24985273 0.5))"
Round bollard,"POLYGON Z ((842457.700501555 6520283.77687539 0.5, 842457.6575303788 6520283.9091270715 0.5, 842457.5450303787 6520283.990863106 0.5, 842457.4059727313 6520283.990863106 0.5, 842457.2934727313 6520283.9091270715 0.5, 842457.250501555 6520283.77687539 0.5, 842457.2934727313 6520283.644623708 0.5, 842457.4059727313 6520283.562887673 0.5, 842457.5450303787 6520283.562887673 0.5, 842457.6575303788 6520283.644623708 0.5, 842457.700501555 6520283.77687539 0.5))"
Round bollard,"POLYGON Z ((842457.7305200329 6520272.79760127 0.5, 842457.6875488567 6520272.929852951 0.5, 842457.5750488567 6520273.011588986 0.5, 842457.4359912092 6520273.011588986 0.5, 842457.3234912092 6520272.929852951 0.5, 842457.280520033 6520272.79760127 0.5, 842457.3234912092 6520272.665349588 0.5, 842457.4359912092 6520272.583613553 0.5, 842457.5750488567 6520272.583613553 0.5, 842457.6875488567 6520272.665349588 0.5, 842457.7305200329 6520272.79760127 0.5))"
Round bollard,"POLYGON Z ((842459.605001609 6520284.08890085 0.5, 842459.5620304327 6520284.221152532 0.5, 842459.4495304327 6520284.302888567 0.5, 842459.3104727853 6520284.302888567 0.5, 842459.1979727852 6520284.221152532 0.5, 842459.155001609 6520284.08890085 0.5, 842459.1979727852 6520283.956649168 0.5, 842459.3104727853 6520283.874913134 0.5, 842459.4495304327 6520283.874913134 0.5, 842459.5620304327 6520283.956649168 0.5, 842459.605001609 6520284.08890085 0.5))"
Round bollard,"POLYGON Z ((842461.5831884709 6520284.45619873 0.5, 842461.5402172947 6520284.588450411 0.5, 842461.4277172947 6520284.670186446 0.5, 842461.2886596472 6520284.670186446 0.5, 842461.1761596472 6520284.588450411 0.5, 842461.133188471 6520284.45619873 0.5, 842461.1761596472 6520284.323947048 0.5, 842461.2886596472 6520284.242211013 0.5, 842461.4277172947 6520284.242211013 0.5, 842461.5402172947 6520284.323947048 0.5, 842461.5831884709 6520284.45619873 0.5))"
Round bollard,"POLYGON Z ((842463.448980129 6520284.82088742 0.5, 842463.4060089528 6520284.953139102 0.5, 842463.2935089527 6520285.034875137 0.5, 842463.1544513053 6520285.034875137 0.5, 842463.0419513052 6520284.953139102 0.5, 842462.998980129 6520284.82088742 0.5, 842463.0419513052 6520284.688635739 0.5, 842463.1544513053 6520284.606899704 0.5, 842463.2935089527 6520284.606899704 0.5, 842463.4060089528 6520284.688635739 0.5, 842463.448980129 6520284.82088742 0.5))"
Round bollard,"POLYGON Z ((842465.4284095899 6520285.13465458 0.5, 842465.3854384137 6520285.266906261 0.5, 842465.2729384137 6520285.348642296 0.5, 842465.1338807662 6520285.348642296 0.5, 842465.0213807662 6520285.266906261 0.5, 842464.97840959 6520285.13465458 0.5, 842465.0213807662 6520285.002402898 0.5, 842465.1338807662 6520284.920666863 0.5, 842465.2729384137 6520284.920666863 0.5, 842465.3854384137 6520285.002402898 0.5, 842465.4284095899 6520285.13465458 0.5))"
Round bollard,"POLYGON Z ((842467.402866641 6520285.66255025 0.5, 842467.3598954647 6520285.794801932 0.5, 842467.2473954647 6520285.876537967 0.5, 842467.1083378172 6520285.876537967 0.5, 842466.9958378172 6520285.794801932 0.5, 842466.952866641 6520285.66255025 0.5, 842466.9958378172 6520285.530298568 0.5, 842467.1083378172 6520285.448562534 0.5, 842467.2473954647 6520285.448562534 0.5, 842467.3598954647 6520285.530298568 0.5, 842467.402866641 6520285.66255025 0.5))"
Round bollard,"POLYGON Z ((842469.307365683 6520285.97457872 0.5, 842469.2643945068 6520286.106830401 0.5, 842469.1518945068 6520286.188566436 0.5, 842469.0128368593 6520286.188566436 0.5, 842468.9003368593 6520286.106830401 0.5, 842468.8573656831 6520285.97457872 0.5, 842468.9003368593 6520285.842327038 0.5, 842469.0128368593 6520285.760591003 0.5, 842469.1518945068 6520285.760591003 0.5, 842469.2643945068 6520285.842327038 0.5, 842469.307365683 6520285.97457872 0.5))"
Round bollard,"POLYGON Z ((842471.211864545 6520286.28660778 0.5, 842471.1688933688 6520286.418859461 0.5, 842471.0563933688 6520286.500595496 0.5, 842470.9173357213 6520286.500595496 0.5, 842470.8048357213 6520286.418859461 0.5, 842470.761864545 6520286.28660778 0.5, 842470.8048357213 6520286.154356098 0.5, 842470.9173357213 6520286.072620063 0.5, 842471.0563933688 6520286.072620063 0.5, 842471.1688933688 6520286.154356098 0.5, 842471.211864545 6520286.28660778 0.5))"
Round bollard,"POLYGON Z ((842473.188806979 6520286.70744138 0.5, 842473.1458358028 6520286.839693062 0.5, 842473.0333358027 6520286.921429097 0.5, 842472.8942781553 6520286.921429097 0.5, 842472.7817781552 6520286.839693062 0.5, 842472.738806979 6520286.70744138 0.5, 842472.7817781552 6520286.5751896985 0.5, 842472.8942781553 6520286.493453664 0.5, 842473.0333358027 6520286.493453664 0.5, 842473.1458358028 6520286.5751896985 0.5, 842473.188806979 6520286.70744138 0.5))"
Round bollard,"POLYGON Z ((842475.09206232 6520287.07300361 0.5, 842475.0490911438 6520287.205255291 0.5, 842474.9365911437 6520287.286991326 0.5, 842474.7975334963 6520287.286991326 0.5, 842474.6850334962 6520287.205255291 0.5, 842474.64206232 6520287.07300361 0.5, 842474.6850334962 6520286.940751928 0.5, 842474.7975334963 6520286.859015893 0.5, 842474.9365911437 6520286.859015893 0.5, 842475.0490911438 6520286.940751928 0.5, 842475.09206232 6520287.07300361 0.5))"
Round bollard,"POLYGON Z ((842477.10895552 6520287.38764455 0.5, 842477.0659843438 6520287.519896232 0.5, 842476.9534843437 6520287.601632266 0.5, 842476.8144266963 6520287.601632266 0.5, 842476.7019266962 6520287.519896232 0.5, 842476.65895552 6520287.38764455 0.5, 842476.7019266962 6520287.255392868 0.5, 842476.8144266963 6520287.173656833 0.5, 842476.9534843437 6520287.173656833 0.5, 842477.0659843438 6520287.255392868 0.5, 842477.10895552 6520287.38764455 0.5))"
Round bollard,"POLYGON Z ((842479.047189104 6520287.86114198 0.5, 842479.0042179278 6520287.993393661 0.5, 842478.8917179278 6520288.075129696 0.5, 842478.7526602803 6520288.075129696 0.5, 842478.6401602803 6520287.993393661 0.5, 842478.5971891041 6520287.86114198 0.5, 842478.6401602803 6520287.728890298 0.5, 842478.7526602803 6520287.647154263 0.5, 842478.8917179278 6520287.647154263 0.5, 842479.0042179278 6520287.728890298 0.5, 842479.047189104 6520287.86114198 0.5))"
Round bollard,"POLYGON Z ((842480.9142219779 6520288.17230401 0.5, 842480.8712508017 6520288.304555692 0.5, 842480.7587508017 6520288.3862917265 0.5, 842480.6196931542 6520288.3862917265 0.5, 842480.5071931542 6520288.304555692 0.5, 842480.464221978 6520288.17230401 0.5, 842480.5071931542 6520288.040052328 0.5, 842480.6196931542 6520287.958316294 0.5, 842480.7587508017 6520287.958316294 0.5, 842480.8712508017 6520288.040052328 0.5, 842480.9142219779 6520288.17230401 0.5))"
Round bollard,"POLYGON Z ((842482.816233267 6520288.59140061 0.5, 842482.7732620907 6520288.723652292 0.5, 842482.6607620907 6520288.805388327 0.5, 842482.5217044433 6520288.805388327 0.5, 842482.4092044432 6520288.723652292 0.5, 842482.366233267 6520288.59140061 0.5, 842482.4092044432 6520288.4591489285 0.5, 842482.5217044433 6520288.377412894 0.5, 842482.6607620907 6520288.377412894 0.5, 842482.7732620907 6520288.4591489285 0.5, 842482.816233267 6520288.59140061 0.5))"
Round bollard,"POLYGON Z ((842484.794417451 6520288.95870598 0.5, 842484.7514462748 6520289.090957662 0.5, 842484.6389462748 6520289.172693697 0.5, 842484.4998886273 6520289.172693697 0.5, 842484.3873886273 6520289.090957662 0.5, 842484.3444174511 6520288.95870598 0.5, 842484.3873886273 6520288.826454299 0.5, 842484.4998886273 6520288.744718264 0.5, 842484.6389462748 6520288.744718264 0.5, 842484.7514462748 6520288.826454299 0.5, 842484.794417451 6520288.95870598 0.5))"
Round bollard,"POLYGON Z ((842486.8487745699 6520289.27422018 0.5, 842486.8058033937 6520289.4064718615 0.5, 842486.6933033937 6520289.488207896 0.5, 842486.5542457462 6520289.488207896 0.5, 842486.4417457462 6520289.4064718615 0.5, 842486.39877457 6520289.27422018 0.5, 842486.4417457462 6520289.141968498 0.5, 842486.5542457462 6520289.060232463 0.5, 842486.6933033937 6520289.060232463 0.5, 842486.8058033937 6520289.141968498 0.5, 842486.8487745699 6520289.27422018 0.5))"
