# trajectory data of sequence CCTV
# recorded at 12 fps, extracted at 2 fps and then interpolated at 10 fps for final output
# recording started at 2022-12-09T20:13:35+01:00
# z coordinate is the estimated height of person
# x_RGF and y_RGF are coordinates (in meters) in the RGF-93 Lambert-93 coordinate system (EPSG:2154)
# t/s is the time (number of seconds) using as reference date Friday, Dec. 9th at 20:00:00 (UTC+1)
# id frame x/m y/m z/m t/s x_RGF y_RGF
75 1 0.494 53.932 1.8 813.100 842461.28 6520293.25
75 2 0.475 53.903 1.8 813.200 842461.31 6520293.23
75 3 0.456 53.875 1.8 813.300 842461.34 6520293.22
75 4 0.438 53.846 1.8 813.400 842461.37 6520293.21
75 5 0.419 53.818 1.8 813.500 842461.40 6520293.19
75 6 0.354 53.838 1.8 813.600 842461.39 6520293.13
75 7 0.290 53.858 1.8 813.700 842461.38 6520293.06
75 8 0.225 53.879 1.8 813.800 842461.38 6520292.99
75 9 0.161 53.899 1.8 813.900 842461.37 6520292.92
75 10 0.096 53.919 1.8 814.000 842461.36 6520292.86
75 11 0.069 53.996 1.8 814.100 842461.29 6520292.82
75 12 0.042 54.074 1.8 814.200 842461.22 6520292.78
75 13 0.015 54.151 1.8 814.300 842461.15 6520292.74
75 14 -0.012 54.228 1.8 814.400 842461.08 6520292.69
75 15 -0.039 54.305 1.8 814.500 842461.01 6520292.65
75 16 -0.080 54.435 1.8 814.600 842460.89 6520292.59
75 17 -0.122 54.566 1.8 814.700 842460.77 6520292.52
75 18 -0.164 54.696 1.8 814.800 842460.65 6520292.46
75 19 -0.206 54.826 1.8 814.900 842460.53 6520292.39
75 20 -0.248 54.956 1.8 815.000 842460.41 6520292.33
75 21 -0.262 55.009 1.8 815.100 842460.36 6520292.30
75 22 -0.277 55.061 1.8 815.200 842460.31 6520292.28
75 23 -0.292 55.114 1.8 815.300 842460.26 6520292.25
75 24 -0.307 55.166 1.8 815.400 842460.21 6520292.23
75 25 -0.321 55.219 1.8 815.500 842460.16 6520292.21
75 26 -0.341 55.326 1.8 815.600 842460.06 6520292.17
75 27 -0.360 55.433 1.8 815.700 842459.96 6520292.13
75 28 -0.379 55.540 1.8 815.800 842459.86 6520292.09
75 29 -0.398 55.646 1.8 815.900 842459.75 6520292.05
75 30 -0.417 55.753 1.8 816.000 842459.65 6520292.01
75 31 -0.455 55.832 1.8 816.100 842459.58 6520291.96
75 32 -0.493 55.910 1.8 816.200 842459.51 6520291.91
75 33 -0.532 55.988 1.8 816.300 842459.44 6520291.86
75 34 -0.570 56.067 1.8 816.400 842459.37 6520291.81
75 35 -0.608 56.145 1.8 816.500 842459.30 6520291.75
75 36 -0.644 56.197 1.8 816.600 842459.26 6520291.71
75 37 -0.681 56.248 1.8 816.700 842459.21 6520291.66
75 38 -0.717 56.299 1.8 816.800 842459.17 6520291.62
75 39 -0.753 56.351 1.8 816.900 842459.13 6520291.57
75 40 -0.789 56.402 1.8 817.000 842459.08 6520291.53
75 41 -0.777 56.514 1.8 817.100 842458.97 6520291.52
75 42 -0.765 56.626 1.8 817.200 842458.86 6520291.51
75 43 -0.752 56.738 1.8 817.300 842458.75 6520291.50
75 44 -0.740 56.850 1.8 817.400 842458.63 6520291.49
75 45 -0.728 56.962 1.8 817.500 842458.52 6520291.49
75 46 -0.767 57.042 1.8 817.600 842458.45 6520291.43
75 47 -0.805 57.122 1.8 817.700 842458.38 6520291.38
75 48 -0.844 57.201 1.8 817.800 842458.31 6520291.33
75 49 -0.883 57.281 1.8 817.900 842458.24 6520291.27
75 50 -0.922 57.361 1.8 818.000 842458.17 6520291.22
75 51 -0.937 57.415 1.8 818.100 842458.11 6520291.20
75 52 -0.952 57.470 1.8 818.200 842458.06 6520291.17
75 53 -0.968 57.524 1.8 818.300 842458.01 6520291.15
75 54 -0.983 57.579 1.8 818.400 842457.96 6520291.12
75 55 -0.998 57.633 1.8 818.500 842457.91 6520291.10
75 56 -1.027 57.715 1.8 818.600 842457.84 6520291.05
75 57 -1.055 57.797 1.8 818.700 842457.76 6520291.01
